2020-01-02,41159
2020-01-03,42094
2020-01-06,42880
2020-01-07,42555
2020-01-08,42923
2020-01-09,41883
2020-01-10,41747
2020-01-13,41606
2020-01-14,41501
2020-01-15,41696
2020-01-16,41801
2020-01-17,41857
2020-01-20,42021
2020-01-21,41911
2020-01-22,41955
2020-01-23,41911
2020-01-24,42120
2020-01-27,42688
2020-01-28,42502
2020-01-29,42348
2020-01-30,42741
2020-01-31,42712
2020-02-01,43076
2020-02-03,42729
2020-02-04,42429
2020-02-05,42024
2020-02-06,42376
2020-02-07,42585
2020-02-10,42613
2020-02-11,42416
2020-02-12,42351
2020-02-13,42598
2020-02-14,42590
2020-02-17,42712
2020-02-18,42933
2020-02-19,43438
2020-02-20,43515
2020-02-21,43508
2020-02-24,45377
2020-02-25,44656
2020-02-26,44449
2020-02-27,44408
2020-02-28,44200
2020-03-02,43982
2020-03-03,44025
2020-03-04,45034
2020-03-05,45140
2020-03-06,46455
2020-03-09,45659
2020-03-10,45651
2020-03-11,45310
2020-03-12,45061
2020-03-13,43571
2020-03-16,42294
2020-03-17,41509
2020-03-18,42468
2020-03-19,42078
2020-03-20,42881
2020-03-23,42920
2020-03-24,42940
2020-03-25,42932
2020-03-26,42931
2020-03-27,42859
2020-03-30,42817
2020-03-31,42810
2020-04-01,42803
2020-04-03,42732
2020-04-07,42688
2020-04-08,42670
2020-04-09,42661
2020-04-13,42629
2020-04-15,42611
2020-04-16,42569
2020-04-17,42544
2020-04-20,42501
2020-04-21,42495
2020-04-22,42489
2020-04-23,42477
2020-04-24,42471
2020-04-27,42455
2020-04-28,42449
2020-04-29,42446
2020-04-30,42439
2020-05-01,42433
2020-05-04,42415
2020-05-05,42401
2020-05-06,42393
2020-05-07,42387
2020-05-08,42371
2020-05-11,42353
2020-05-12,42354
2020-05-13,42336
2020-05-14,42334
2020-05-15,42328
2020-05-18,42308
2020-05-19,42306
2020-05-20,42296
2020-05-21,42283
2020-05-22,42247
2020-05-25,42230
2020-05-26,42206
2020-05-27,42192
2020-05-28,42182
2020-05-29,42174
2020-06-01,48276
2020-06-02,48094
2020-06-03,47765
2020-06-04,47649
2020-06-05,47559
2020-06-08,47373
2020-06-09,47746
2020-06-10,47937
2020-06-11,48327
2020-06-12,48350
2020-06-15,47855
2020-06-16,48493
2020-06-17,48268
2020-06-18,48486
2020-06-19,48608
2020-06-22,49009
2020-06-23,49021
2020-06-24,49586
2020-06-25,48993
2020-06-26,49149
2020-06-29,49404
2020-06-30,49379
2020-07-01,49856
2020-07-02,49245
2020-07-03,49262
2020-07-06,49030
2020-07-07,49218
2020-07-08,49978
2020-07-09,50179
2020-07-10,50056
2020-07-13,50092
2020-07-14,49889
2020-07-15,50029
2020-07-16,49981
2020-07-17,49822
2020-07-20,49886
2020-07-21,50118
2020-07-22,50825
2020-07-23,51490
2020-07-24,51797
2020-07-27,53218
2020-07-28,53204
2020-07-29,53735
2020-07-30,53879
2020-07-31,54515
2020-08-03,54554
2020-08-04,54623
2020-08-05,56060
2020-08-06,56477
2020-08-07,56834
2020-08-10,56167
2020-08-11,54745
2020-08-12,54736
2020-08-13,53171
2020-08-14,53488
2020-08-17,53420
2020-08-18,54481
2020-08-19,53977
2020-08-20,52938
2020-08-21,52903
2020-08-24,52607
2020-08-25,52076
2020-08-26,51722
2020-08-27,51967
2020-08-28,51512
2020-08-31,51936
2020-09-01,52113
2020-09-02,51780
2020-09-03,51456
2020-09-04,51507
2020-09-07,51526
2020-09-08,51446
2020-09-09,51624
2020-09-10,51947
2020-09-11,51752
